station_code,station_name,longitude,latitude,zone,state,total_connections,in_degree,out_degree,degree_centrality
BYP,Baijnathpur,86.653766,25.901014,ECR,Bihar,6,3,3,0.0006674824785849371
BPD,Bahadurpur,88.4633792,23.438519499999998,ER,West Bengal,4,2,2,0.00044498831905662476
BXF,Barsuan,85.119799,21.847398000000002,SER,Odisha,2,1,1,0.00022249415952831238
AMO,Amolwa,84.478487,27.211161,ECR,Bihar,6,3,3,0.0006674824785849371
BXN,BAYANA JN,77.29713100000001,26.916354000000002,WCR,Rajasthan,8,4,4,0.0008899766381132495
SKEN,Sukhshena,87.111962,25.790577,?,,4,2,2,0.00044498831905662476
DNRP,DUNGARPUR,73.69546199999999,23.867175000000003,NWR,Rajasthan,6,3,3,0.0006674824785849371
CHBR,CHAURE BAZAR,82.118735,26.469531,NR,Uttar Pradesh,4,2,2,0.00044498831905662476
DDW,DUDWA,80.672161,28.50831,NER,Uttar Pradesh,6,3,3,0.0006674824785849371
CKE,CHOKI SORATH,70.525813,21.659142000000003,WR,Gujarat,4,2,2,0.00044498831905662476
CIH,Chilhia,82.990864,27.35207,NER,Uttar Pradesh,4,2,2,0.00044498831905662476
DGLE,DHULIAN GANGA,87.937644,24.672086,ER,West Bengal,7,3,4,0.0007787295583490933
CDM,CHIDAMBARAM,79.7033411,11.391471000000001,SR,Tamil Nadu,5,3,2,0.000556235398820781
COO,CHHOTI ODAI,76.805294,26.558703,WCR,Rajasthan,6,3,3,0.0006674824785849371
CAMU,CHAMUA,84.40083419070001,27.137702177799998,ECR,Bihar,5,2,3,0.000556235398820781
DHLI,Dethli,72.10305100000001,23.486172,WR,Gujarat,4,2,2,0.00044498831905662476
DHAE,DAINHAT,88.17026899999999,23.60191,ER,West Bengal,6,3,3,0.0006674824785849371
