station_code,station_name,hop_number,cascaded_delay,path,num_trains_affected
MTHP,MITHAPUR,3,30.7,HWH → GGTA → BMRN → MTHP,7
MGTD,MEGHPUR TITODI,3,30.7,HWH → GGTA → BMRN → MGTD,6
TATA,TATANAGAR JN,3,30.7,HWH → GGTA → MOU → TATA,17
BPHB,BHILAI POWER HOUSE,3,30.7,HWH → GGTA → MOU → BPHB,9
BNDM,BONDAMUNDA,3,30.7,HWH → GGTA → MOU → BNDM,25
PST,POSOTIA,3,30.7,HWH → GGTA → MOU → PST,12
JRA,JARAIKELA,3,30.7,HWH → GGTA → MOU → JRA,11
SNJL,SANJALI,3,30.7,HWH → GGTA → MFP → SNJL,11
SBTA,SABARMATI A CABIN,3,30.7,HWH → GGTA → MFP → SBTA,17
GJH,GOLDINGANJ,3,30.7,HWH → GGTA → MFP → GJH,9
NKJ,NEW KATNI JN,3,30.7,HWH → KTES → KTE → NKJ,11
BBL,BALRAI,3,30.7,HWH → JJKR → ULD → BBL,10
KKB,KARAK BEL,3,30.7,HWH → KTES → KTE → KKB,8
PTWA,PATWARA,3,30.7,HWH → KTES → KTE → PTWA,14
BGHI,BAGAHAI ROAD,3,30.7,HWH → KTES → SKAR → BGHI,7
HNM,HINAUTARAMBAN,3,30.7,HWH → KTES → SKAR → HNM,8
DWJN,DIVA JN. CABIN,3,30.7,HWH → GGTA → MFP → DWJN,13
RD,RAM DAYALU NAGAR,3,30.7,HWH → GGTA → MFP → RD,9
NRPA,NARAYANPUR ANANT,3,30.7,HWH → GGTA → MFP → NRPA,8
BUTA,BHADUTALA,3,30.7,HWH → GGTA → ADRA → BUTA,7
JOC,JOYCHANDI PAHAR,3,30.7,HWH → GGTA → ADRA → JOC,6
MYX,METYAL SOHAR,3,30.7,HWH → GGTA → ADRA → MYX,6
SNKR,Sanka,3,30.7,HWH → GGTA → ADRA → SNKR,4
GRB,GARHDHRUBESWAR,3,30.7,HWH → GGTA → ADRA → GRB,6
NYN,NAINI,3,30.7,HWH → KTES → KTE → NYN,22
JLW,JHALWARA,3,30.7,HWH → KTES → MDRR → JLW,7
SHR,SIHORA ROAD,3,30.7,HWH → KTES → MDRR → SHR,8
BSLX,BSLX,3,30.7,HWH → KTES → KTE → BSLX,11
NWR,NIWAR,3,30.7,HWH → KTES → KTE → NWR,9
KMT,KHAMMAM,3,30.7,HWH → KTES → KTE → KMT,9
CKN,CHINTA KANI,3,30.7,HWH → KTES → KTE → CKN,9
SEL,SANKRALL,3,30.7,HWH → BZL → ADL → SEL,14
MKB,MANKATHA,3,30.7,HWH → BZL → DKAE → MKB,7
MBE,MIRZAPUR BANKIPUR,3,30.7,HWH → BZL → DKAE → MBE,11
CCLW,CCLINK-WEST,3,30.7,HWH → BZL → DKAE → CCLW,6
RCD,RAJCHANDRAPUR,3,30.7,HWH → BZL → DKAE → RCD,6
PBZ,PORABAZAR,3,30.7,HWH → BZL → BLY → PBZ,15
KXL,KAMARBANDHA ALI,3,30.7,HWH → AZA → MRZA → KXL,11
SLHA,SALHANA,3,30.7,HWH → KTES → LEK → SLHA,7
BBAR,BARA,3,30.7,HWH → KTES → LEK → BBAR,8
KMZ,KATNI MURWARA,3,30.7,HWH → KTES → MJGP → KMZ,11
HDU,HARDUA,3,30.7,HWH → KTES → MJGP → HDU,7
GTY,GOLA PATI,3,30.7,HWH → KTES → MJGP → GTY,8
BUH,BURHAR,3,30.7,HWH → KTES → CHDX → BUH,6
